iter	RMSE
0	77557.19258
1	75577.70116
2	73836.51058
3	72055.59627
4	70427.8982
5	68743.25645
6	67170.95006
7	65496.55454
8	64114.64527
9	62687.47485
10	61391.38368
11	60046.48002
12	58829.2325
13	57641.95545
14	56566.23301
15	55467.27766
16	54486.34612
17	53456.90904
18	52496.49683
19	51529.80137
20	50549.45507
21	49684.58187
22	48799.13557
23	47855.26788
24	46952.80678
25	46162.00041
26	45375.14716
27	44631.28438
28	43878.36477
29	43324.05161
30	42737.60288
31	42126.16401
32	41439.98613
33	40771.94992
34	40253.77097
35	39687.67904
36	39125.52966
37	38644.89241
38	38144.37215
39	37665.18408
40	37179.79656
41	36740.90574
42	36338.13239
43	35917.96603
44	35510.33295
45	35159.53239
46	34762.67106
47	34403.68668
48	34076.13748
49	33770.33029
50	33418.39735
51	33131.19341
52	32846.6064
53	32504.33159
54	32246.35107
55	31968.37158
56	31736.7971
57	31473.67563
58	31202.30574
59	30946.75712
60	30730.69233
61	30447.01941
62	30209.48619
63	29974.71076
64	29730.55903
65	29538.41404
66	29380.07026
67	29223.47496
68	29025.59949
69	28852.54953
70	28678.15186
71	28469.68729
72	28328.79762
73	28150.31865
74	28008.53307
75	27866.57432
76	27626.93384
77	27477.87275
78	27336.44426
79	27198.3566
80	27073.98436
81	26911.23675
82	26792.55062
83	26663.63864
84	26564.62272
85	26414.72593
86	26320.30745
87	26210.08713
88	26073.77605
89	25954.46889
90	25851.46126
91	25724.76511
92	25576.1456
93	25441.28213
94	25305.96174
95	25214.09295
96	25116.3178
97	25000.38701
98	24916.15195
99	24836.60006
100	24719.00279
101	24659.50255
102	24568.45356
103	24492.23572
104	24396.03686
105	24299.3823
106	24229.71291
107	24129.73335
108	24041.52478
109	23927.18415
110	23822.40584
111	23759.35296
112	23659.01309
113	23582.90174
114	23502.12305
115	23444.56861
116	23375.2841
117	23319.0418
118	23246.36591
119	23207.21787
120	23135.41711
121	23076.43101
122	22998.30899
123	22944.96687
124	22867.97656
125	22818.68136
126	22729.45117
127	22699.6074
128	22635.03738
129	22568.48092
130	22476.67362
131	22420.00888
132	22357.98778
133	22303.30792
134	22260.86971
135	22202.23614
136	22137.63162
137	22095.56397
138	22047.16654
139	22002.14917
140	21966.8719
141	21906.75581
142	21850.11291
143	21813.63582
144	21761.86925
145	21721.31385
146	21688.3793
147	21654.96515
148	21606.26796
149	21567.98898
150	21526.78246
151	21491.80665
152	21443.91477
153	21400.80761
154	21364.31815
155	21340.06958
156	21295.47121
157	21270.68704
158	21226.55885
159	21191.2163
160	21138.37962
161	21095.91579
162	21056.32711
163	21024.34967
164	20977.95299
165	20925.80172
166	20900.77603
167	20863.49955
168	20818.85525
169	20770.01588
170	20743.5473
171	20705.26594
172	20648.10956
173	20622.50853
174	20585.88618
175	20553.69884
176	20494.54031
177	20464.7845
178	20414.26071
179	20365.3747
180	20322.16744
181	20294.17622
182	20269.79973
183	20218.52198
184	20188.33192
185	20163.24476
186	20100.01315
187	20057.62858
188	20005.73642
189	19976.66772
190	19938.03307
191	19921.28873
192	19894.97071
193	19848.02506
194	19813.35325
195	19786.06798
196	19745.92634
197	19718.95902
198	19683.92424
199	19647.44062
200	19618.48051
201	19586.2861
202	19555.08943
203	19529.87891
204	19481.19563
205	19438.55985
206	19394.67917
207	19365.94102
208	19350.7288
209	19316.68892
210	19285.03818
211	19240.2229
212	19221.55032
213	19176.66374
214	19139.46389
215	19105.04776
216	19082.8264
217	19059.28783
218	19025.89861
219	18998.21011
220	18975.5477
221	18950.01128
222	18927.23449
223	18888.07968
224	18847.57617
225	18827.32127
226	18806.68267
227	18779.33495
228	18755.61254
229	18732.53869
230	18691.18773
231	18673.57235
232	18651.80656
233	18616.55143
234	18592.16293
235	18547.95889
236	18509.13869
237	18493.33781
238	18471.13312
239	18443.28973
240	18436.49293
241	18406.16908
242	18373.06872
243	18366.73615
244	18348.69362
245	18342.1965
246	18307.90711
247	18275.51639
248	18222.84452
249	18194.78524
250	18147.36211
251	18126.36111
252	18103.91302
253	18071.20399
254	18049.70979
255	18034.01625
256	18007.65719
257	17981.87998
258	17950.26961
259	17916.68783
260	17894.59498
261	17871.0251
262	17842.66171
263	17836.8531
264	17815.53195
265	17781.89209
266	17757.21566
267	17741.35893
268	17725.04773
269	17711.50924
270	17679.31101
271	17673.92108
272	17653.09887
273	17625.16813
274	17604.73549
275	17573.60646
276	17558.94266
277	17535.43782
278	17513.43003
279	17494.74436
280	17460.16248
281	17443.97593
282	17415.5047
283	17403.16425
284	17381.07224
285	17367.9087
286	17341.64318
287	17326.95804
288	17304.35725
289	17290.37099
290	17268.58677
291	17249.95674
292	17220.42937
293	17207.44927
294	17188.0781
295	17164.034
296	17139.26511
297	17113.56683
298	17098.52872
299	17083.54358
300	17066.36509
301	17043.48449
302	17031.40259
303	17009.12394
304	16989.74543
305	16972.80248
306	16960.91947
307	16922.38094
308	16904.42633
309	16881.13393
310	16853.43275
311	16843.44724
312	16820.79274
313	16781.19898
314	16758.4882
315	16731.0477
316	16707.42709
317	16691.89188
318	16670.28099
319	16646.44247
320	16640.85367
321	16616.82968
322	16588.94132
323	16573.42213
324	16557.29677
325	16528.22519
326	16508.01274
327	16488.30855
328	16473.64213
329	16451.36324
330	16432.80761
331	16414.98734
332	16393.07073
333	16372.70125
334	16360.92267
335	16334.94066
336	16306.18594
337	16292.50519
338	16266.89821
339	16262.90077
340	16245.81639
341	16235.66473
342	16218.56193
343	16195.80088
344	16167.69081
345	16143.9181
346	16119.44857
347	16110.07733
348	16095.79145
349	16072.42319
350	16053.12004
351	16032.78039
352	16014.61738
353	15996.47176
354	15979.25993
355	15959.76575
356	15942.85075
357	15934.17523
358	15918.78785
359	15905.73217
360	15881.50554
361	15861.94456
362	15838.174
363	15829.23664
364	15802.57009
365	15786.45826
366	15767.10403
367	15748.86367
368	15726.04057
369	15704.06107
370	15688.57635
371	15665.93967
372	15645.598
373	15635.93753
374	15614.48672
375	15596.94614
376	15575.43878
377	15555.65821
378	15536.7754
379	15521.05507
380	15494.34522
381	15476.93725
382	15459.78656
383	15441.67717
384	15429.94953
385	15416.74014
386	15397.57128
387	15370.17289
388	15355.83361
389	15340.47961
390	15325.12555
391	15316.59169
392	15302.84014
393	15282.32615
394	15269.2325
395	15247.1029
396	15230.07134
397	15215.94657
398	15192.90879
399	15166.57872
400	15152.26089
401	15135.91642
402	15119.97686
403	15103.26118
404	15099.52934
405	15086.71393
406	15077.04189
407	15057.96019
408	15044.56938
409	15027.23997
410	15011.25745
411	14993.69165
412	14979.43064
413	14965.36482
414	14949.49252
415	14928.54632
416	14920.14583
417	14903.884
418	14890.57105
419	14875.91543
420	14866.84037
421	14840.9835
422	14825.93456
423	14806.06838
424	14797.06702
425	14779.32511
426	14763.66815
427	14742.85576
428	14724.84779
429	14707.57887
430	14686.99524
431	14673.53775
432	14650.63079
433	14641.31767
434	14628.24388
435	14614.10718
436	14598.6519
437	14587.16395
438	14578.64157
439	14564.58305
440	14554.33007
441	14541.22462
442	14527.9992
443	14516.9365
444	14514.49067
445	14503.53839
446	14500.13176
447	14484.14035
448	14480.8226
449	14471.58203
450	14453.85109
451	14448.14178
452	14437.94764
453	14424.18683
454	14420.96379
455	14402.69642
456	14390.93137
457	14376.45686
458	14365.21977
459	14351.36692
460	14339.45073
461	14328.34678
462	14314.65287
463	14306.52371
464	14293.87753
465	14279.57485
466	14269.17956
467	14254.60435
468	14240.90528
469	14232.03715
470	14224.61922
471	14216.35144
472	14196.09417
473	14182.18209
474	14165.93741
475	14156.05034
476	14145.45124
477	14131.12569
478	14116.77378
479	14105.59383
480	14088.5154
481	14070.61304
482	14058.47681
483	14036.26636
484	14019.89555
485	14012.56239
486	14009.81833
487	13989.95325
488	13977.82819
489	13962.87787
490	13950.20665
491	13940.51477
492	13914.29627
493	13904.37843
494	13891.92139
495	13877.67599
496	13867.62406
497	13859.97408
498	13846.325
499	13835.21487
500	13826.59568
501	13825.40055
502	13803.48368
503	13797.80814
504	13781.901
505	13770.78159
506	13757.36438
507	13749.01164
508	13733.65069
509	13720.36718
510	13711.56789
511	13699.93729
512	13687.09179
513	13672.67823
514	13665.26472
515	13654.07043
516	13640.68387
517	13629.7262
518	13617.1691
519	13606.40319
520	13597.74633
521	13590.2667
522	13575.86367
523	13555.47667
524	13536.39804
525	13520.24182
526	13511.13572
527	13497.50595
528	13481.77808
529	13465.92745
530	13456.27467
531	13441.8402
532	13428.29969
533	13412.82129
534	13401.47776
535	13397.19896
536	13384.20085
537	13365.76937
538	13357.67243
539	13349.16164
540	13339.39108
541	13332.04822
542	13322.27229
543	13311.75715
544	13304.14874
545	13293.73278
546	13276.36026
547	13264.43555
548	13249.83702
549	13234.07963
550	13225.92492
551	13209.79281
552	13196.1937
553	13187.94459
554	13179.42348
555	13171.94026
556	13166.63134
557	13157.05943
558	13135.90321
559	13126.3924
560	13114.2093
561	13095.97611
562	13089.46432
563	13078.0448
564	13072.65998
565	13056.58591
566	13046.23184
567	13026.98685
568	13015.98685
569	13000.87499
570	12990.13914
571	12977.86409
572	12966.45514
573	12957.91278
574	12941.50161
575	12928.9392
576	12913.97955
577	12901.54814
578	12889.48875
579	12880.29828
580	12864.75038
581	12854.49896
582	12838.5303
583	12827.22801
584	12813.9484
585	12809.60814
586	12801.81123
587	12792.13001
588	12782.31109
589	12766.21755
590	12750.69797
591	12729.35219
592	12721.2714
593	12713.9866
594	12702.39595
595	12691.24088
596	12680.73901
597	12670.94477
598	12659.68012
599	12647.92657
600	12631.6951
601	12617.80568
602	12604.60514
603	12592.11974
604	12579.40251
605	12574.72393
606	12562.62623
607	12554.43449
608	12544.68987
609	12536.02869
610	12525.50007
611	12516.16095
612	12503.57978
613	12493.46296
614	12485.77157
615	12474.17013
616	12462.93064
617	12452.17611
618	12440.26108
619	12429.4751
620	12427.17869
621	12415.01841
622	12401.98089
623	12398.8552
624	12391.2942
625	12381.37515
626	12375.71145
627	12366.34782
628	12353.46561
629	12346.80893
630	12338.35188
631	12324.6414
632	12317.22414
633	12305.58869
634	12298.22269
635	12288.00098
636	12277.42323
637	12258.40754
638	12246.64601
639	12238.38421
640	12227.09998
641	12210.02292
642	12203.06355
643	12193.02497
644	12184.00038
645	12173.18583
646	12162.43381
647	12151.56111
648	12137.53293
649	12123.91856
650	12109.72974
651	12099.95371
652	12094.15622
653	12089.42442
654	12080.64779
655	12069.02592
656	12058.27431
657	12052.23602
658	12045.86302
659	12034.84929
660	12032.65399
661	12026.32872
662	12024.55117
663	12017.655
664	12006.23264
665	11995.73971
666	11986.1959
667	11982.01797
668	11968.94482
669	11954.42844
670	11946.60585
671	11935.09763
672	11925.55722
673	11916.20112
674	11907.94329
675	11892.59718
676	11888.68113
677	11881.19219
678	11871.05132
679	11863.75409
680	11846.72286
681	11842.59625
682	11832.77315
683	11821.76923
684	11815.55641
685	11811.92753
686	11803.34888
687	11796.32143
688	11794.28283
689	11782.90303
690	11775.39243
691	11760.70442
692	11747.54138
693	11735.10791
694	11727.34671
695	11716.18587
696	11702.78631
697	11695.54297
698	11686.14309
699	11674.61382
700	11668.45739
701	11660.06635
702	11656.81366
703	11647.05546
704	11642.77571
705	11634.76132
706	11626.15048
707	11622.08856
708	11611.13513
709	11604.27088
710	11598.07109
711	11589.80066
712	11579.23362
713	11568.41229
714	11562.25859
715	11557.75994
716	11553.26524
717	11544.83678
718	11531.55095
719	11520.96615
720	11509.0985
721	11507.16759
722	11496.82046
723	11484.17771
724	11474.29843
725	11466.46654
726	11461.88088
727	11454.68928
728	11446.15668
729	11431.95918
730	11426.24585
731	11416.39795
732	11411.37619
733	11400.29099
734	11391.47273
735	11382.17983
736	11367.63378
737	11359.38958
738	11346.33466
739	11344.43127
740	11334.06401
741	11332.243
742	11327.83677
743	11317.80162
744	11310.44118
745	11304.73594
746	11297.82291
747	11287.23733
748	11276.23494
749	11270.48826
750	11268.4728
751	11254.08833
752	11244.80591
753	11238.14317
754	11236.34937
755	11227.28273
756	11218.90715
757	11205.24828
758	11198.69871
759	11192.00692
760	11185.63445
761	11177.46661
762	11167.62731
763	11160.65505
764	11147.45392
765	11140.02088
766	11124.93749
767	11120.40326
768	11110.92854
769	11104.35275
770	11094.08364
771	11086.66668
772	11082.418
773	11072.61983
774	11062.57725
775	11057.87098
776	11042.76473
777	11035.15549
778	11028.92751
779	11027.52966
780	11020.89065
781	11009.53339
782	10999.13751
783	10996.24787
784	10986.85323
785	10978.71628
786	10965.8944
787	10960.5107
788	10952.99346
789	10943.43789
790	10931.12807
791	10921.70093
792	10919.58101
793	10912.08562
794	10909.06377
795	10899.89248
796	10897.42865
797	10889.53325
798	10880.37505
799	10874.85261
800	10864.39057
801	10855.50171
802	10849.83023
803	10846.99873
804	10838.52758
805	10826.5762
806	10821.5609
807	10813.36342
808	10799.82215
809	10792.1149
810	10780.51811
811	10767.42984
812	10764.71156
813	10758.07669
814	10749.55497
815	10739.8993
816	10735.24749
817	10733.92766
818	10732.38093
819	10724.86687
820	10716.55508
821	10705.17265
822	10694.64264
823	10692.97965
824	10688.76969
825	10681.46803
826	10678.12428
827	10669.83159
828	10665.55032
829	10657.37488
830	10650.12655
831	10639.58619
832	10631.30506
833	10627.98331
834	10621.09162
835	10615.5478
836	10613.7654
837	10606.5586
838	10594.69427
839	10587.05214
840	10577.32039
841	10572.34813
842	10565.44912
843	10553.03278
844	10547.71657
845	10535.64453
846	10525.53609
847	10512.74492
848	10506.61362
849	10505.5324
850	10499.38248
851	10492.96337
852	10487.10947
853	10480.08412
854	10468.62546
855	10458.96527
856	10452.22665
857	10445.08036
858	10435.08729
859	10433.82637
860	10422.46723
861	10415.8768
862	10406.21888
863	10399.55551
864	10392.53462
865	10389.00291
866	10376.59924
867	10371.44676
868	10370.23659
869	10361.39189
870	10359.99466
871	10356.07693
872	10349.08697
873	10339.64724
874	10328.04193
875	10323.26313
876	10311.7453
877	10304.86062
878	10297.3909
879	10290.64249
880	10284.58438
881	10277.89908
882	10276.73689
883	10270.29944
884	10264.57221
885	10256.69645
886	10245.31628
887	10233.72275
888	10226.24529
889	10216.213
890	10209.77909
891	10205.00049
892	10196.9606
893	10191.12745
894	10185.72038
895	10176.68947
896	10168.97276
897	10158.44585
898	10151.45006
899	10141.45823
900	10135.28622
901	10131.23942
902	10125.25786
903	10115.78999
904	10109.45075
905	10100.38292
906	10092.15368
907	10079.40043
908	10072.61936
909	10066.77585
910	10056.58831
911	10047.43726
912	10042.45089
913	10041.84557
914	10035.60144
915	10034.5275
916	10028.11795
917	10019.63689
918	10006.94397
919	9998.609908
920	9991.580751
921	9981.326651
922	9976.825578
923	9969.895186
924	9959.341032
925	9952.997748
926	9946.810923
927	9945.809978
928	9937.414532
929	9929.632879
930	9927.902168
931	9921.616525
932	9919.443985
933	9909.565698
934	9902.26926
935	9891.903935
936	9886.021755
937	9884.13956
938	9876.655133
939	9875.179454
940	9862.199834
941	9855.386415
942	9845.87246
943	9837.254875
944	9833.782565
945	9827.839784
946	9816.951343
947	9808.566045
948	9796.387869
949	9787.798726
950	9776.132214
951	9773.488553
952	9767.531598
953	9760.032671
954	9751.623856
955	9743.471971
956	9741.043916
957	9739.848727
958	9730.818768
959	9721.924967
960	9715.609448
961	9714.415193
962	9712.884518
963	9702.809361
964	9695.749934
965	9687.709538
966	9675.940942
967	9671.286549
968	9662.645291
969	9653.95245
970	9646.621072
971	9635.487742
972	9623.877182
973	9620.38292
974	9612.75704
975	9605.186254
976	9598.577633
977	9591.773279
978	9581.267561
979	9573.204451
980	9571.362533
981	9568.412143
982	9561.447594
983	9554.803292
984	9545.278453
985	9540.248459
986	9539.29481
987	9538.131388
988	9531.156
989	9528.65123
990	9523.388354
991	9517.259652
992	9510.151907
993	9504.088692
994	9495.330435
995	9487.706973
996	9481.304866
997	9471.160749
998	9465.661155
999	9464.813413
1000	9455.776883
1001	9453.820638
1002	9443.63282
1003	9436.426202
1004	9424.964891
1005	9418.131033
1006	9412.494702
1007	9402.464806
1008	9391.733664
1009	9385.40518
1010	9374.120256
1011	9371.083862
1012	9363.183029
1013	9361.637957
1014	9360.11073
1015	9349.769713
1016	9342.935762
1017	9338.07282
1018	9332.635252
1019	9323.671707
1020	9317.207248
1021	9309.029842
1022	9302.198446
1023	9291.250615
1024	9290.077019
1025	9285.297363
1026	9276.100473
1027	9272.176025
1028	9266.76538
1029	9257.860286
1030	9247.186112
1031	9241.189765
1032	9233.663026
1033	9232.700697
1034	9226.278174
1035	9218.385132
1036	9208.808471
1037	9199.885599
1038	9194.538103
1039	9188.70171
1040	9180.904401
1041	9174.825307
1042	9168.465944
1043	9164.418737
1044	9155.865878
1045	9151.308554
1046	9149.182634
1047	9141.375945
1048	9135.002465
1049	9126.694396
1050	9122.281925
1051	9112.887348
1052	9108.579294
1053	9100.033454
1054	9091.272894
1055	9084.304151
1056	9078.599098
1057	9075.094508
1058	9069.609543
1059	9066.103299
1060	9056.826461
1061	9045.719395
1062	9036.803892
1063	9032.17006
1064	9030.594471
1065	9024.358243
1066	9019.294121
1067	9013.321834
1068	9006.98899
1069	8999.817983
1070	8998.486629
1071	8996.463755
1072	8987.847471
1073	8981.816235
1074	8981.190029
1075	8980.118696
1076	8973.912542
1077	8967.721813
1078	8961.414633
1079	8953.673688
1080	8948.272028
1081	8942.239591
1082	8934.747436
1083	8925.516339
1084	8917.904482
1085	8912.448533
1086	8906.459952
1087	8896.111826
1088	8893.028953
1089	8887.207336
1090	8886.660246
