iter	Passed	Remaining
0	9	29880
1	20	30684
2	28	28114
3	34	26119
4	38	22907
5	41	20783
6	48	20866
7	57	21517
8	69	23257
9	76	23016
10	83	22594
11	91	22814
12	102	23543
13	113	24178
14	123	24592
15	131	24550
16	141	24877
17	148	24593
18	158	24897
19	166	24753
20	171	24374
21	177	23998
22	183	23807
23	189	23540
24	194	23087
25	200	22943
26	209	23030
27	217	23096
28	227	23266
29	231	22894
30	236	22607
31	245	22748
32	258	23236
33	268	23385
34	277	23474
35	289	23822
36	295	23664
37	303	23681
38	311	23669
39	324	24025
40	335	24222
41	345	24310
42	351	24143
43	359	24140
44	365	24029
45	370	23804
46	375	23574
47	382	23506
48	391	23604
49	406	23965
50	415	24020
51	420	23856
52	436	24287
53	443	24189
54	452	24246
55	465	24450
56	471	24360
57	481	24411
58	492	24551
59	503	24678
60	513	24720
61	519	24596
62	527	24614
63	536	24608
64	544	24572
65	557	24798
66	566	24808
67	572	24677
68	581	24681
69	589	24675
70	596	24599
71	603	24560
72	616	24731
73	628	24849
74	634	24757
75	641	24685
76	648	24632
77	658	24667
78	663	24538
79	672	24563
80	680	24540
81	690	24568
82	706	24830
83	711	24681
84	721	24752
85	735	24928
86	749	25082
87	762	25226
88	771	25227
89	784	25368
90	794	25412
91	805	25471
92	816	25520
93	831	25720
94	843	25778
95	852	25786
96	864	25871
97	879	26054
98	886	25963
99	898	26046
100	901	25881
101	907	25775
102	919	25854
103	930	25905
104	938	25880
105	945	25803
106	951	25714
107	958	25670
108	964	25589
109	974	25594
110	980	25527
111	992	25587
112	1000	25560
113	1006	25487
114	1011	25381
115	1019	25342
116	1028	25331
117	1033	25232
118	1037	25130
119	1043	25038
120	1054	25099
121	1064	25112
122	1070	25030
123	1086	25207
124	1101	25333
125	1110	25340
126	1131	25587
127	1139	25563
128	1147	25548
129	1156	25536
130	1161	25440
131	1174	25519
132	1183	25521
133	1196	25586
134	1211	25721
135	1220	25697
136	1230	25724
137	1240	25732
138	1249	25715
139	1258	25700
140	1267	25698
141	1278	25739
142	1285	25685
143	1291	25622
144	1299	25591
145	1313	25667
146	1324	25706
147	1337	25781
148	1342	25687
149	1354	25744
150	1358	25637
151	1368	25639
152	1373	25565
153	1380	25520
154	1384	25412
155	1394	25425
156	1397	25307
157	1407	25319
158	1412	25240
159	1417	25161
160	1430	25229
161	1439	25217
162	1445	25162
163	1450	25087
164	1454	24998
165	1463	24984
166	1472	24976
167	1480	24959
168	1485	24890
169	1490	24806
170	1495	24746
171	1508	24797
172	1516	24779
173	1521	24705
174	1525	24629
175	1531	24573
176	1534	24472
177	1546	24511
178	1550	24441
179	1553	24345
180	1566	24403
181	1579	24448
182	1590	24476
183	1595	24420
184	1600	24351
185	1606	24300
186	1616	24310
187	1623	24287
188	1636	24332
189	1642	24284
190	1649	24261
191	1654	24190
192	1662	24183
193	1667	24124
194	1680	24168
195	1691	24194
196	1702	24222
197	1708	24184
198	1715	24142
199	1729	24211
200	1739	24223
201	1746	24192
202	1754	24171
203	1761	24140
204	1770	24139
205	1780	24153
206	1785	24092
207	1795	24101
208	1801	24050
209	1817	24152
210	1822	24092
211	1827	24035
212	1833	23986
213	1842	23992
214	1859	24084
215	1866	24052
216	1879	24102
217	1887	24090
218	1897	24090
219	1901	24027
220	1914	24069
221	1925	24100
222	1930	24035
223	1936	23997
224	1943	23966
225	1950	23945
226	1956	23897
227	1976	24030
228	1990	24089
229	1996	24047
230	2007	24063
231	2015	24044
232	2022	24016
233	2033	24034
234	2040	24010
235	2047	23979
236	2057	23981
237	2075	24083
238	2081	24050
239	2092	24064
240	2098	24026
241	2111	24058
242	2117	24029
243	2123	23987
244	2129	23951
245	2140	23960
246	2149	23955
247	2156	23925
248	2168	23955
249	2173	23911
250	2179	23872
251	2191	23894
252	2194	23823
253	2202	23810
254	2215	23849
255	2224	23845
256	2233	23840
257	2240	23808
258	2243	23747
259	2255	23769
260	2262	23745
261	2269	23720
262	2276	23696
263	2286	23692
264	2295	23688
265	2314	23793
266	2321	23765
267	2329	23744
268	2336	23721
269	2343	23694
270	2348	23645
271	2352	23594
272	2360	23574
273	2365	23533
274	2374	23527
275	2378	23473
276	2384	23445
277	2389	23393
278	2396	23368
279	2400	23314
280	2409	23315
281	2420	23328
282	2429	23325
283	2439	23331
284	2447	23315
285	2455	23298
286	2462	23281
287	2473	23296
288	2484	23305
289	2492	23296
290	2510	23374
291	2517	23342
292	2521	23296
293	2530	23293
294	2536	23262
295	2541	23220
296	2552	23234
297	2560	23218
298	2565	23179
299	2577	23194
300	2581	23150
301	2585	23096
302	2595	23104
303	2605	23106
304	2610	23065
305	2615	23026
306	2625	23029
307	2632	23005
308	2644	23028
309	2647	22976
310	2654	22949
311	2659	22912
312	2667	22903
313	2675	22882
314	2681	22857
315	2688	22838
316	2700	22854
317	2710	22858
318	2720	22860
319	2724	22818
320	2730	22785
321	2740	22789
322	2748	22777
323	2753	22740
324	2757	22697
325	2768	22709
326	2778	22712
327	2786	22700
328	2793	22675
329	2800	22658
330	2804	22615
331	2815	22624
332	2829	22659
333	2837	22650
334	2852	22695
335	2860	22677
336	2865	22641
337	2872	22622
338	2876	22577
339	2883	22562
340	2888	22521
341	2899	22534
342	2905	22510
343	2917	22527
344	2923	22494
345	2929	22473
346	2933	22431
347	2938	22393
348	2953	22435
349	2964	22442
350	2967	22392
351	2975	22384
352	2981	22358
353	2992	22365
354	2998	22341
355	3009	22351
356	3023	22381
357	3029	22358
358	3039	22362
359	3046	22343
360	3056	22344
361	3061	22307
362	3072	22319
363	3084	22335
364	3093	22335
365	3099	22305
366	3107	22296
367	3113	22270
368	3122	22261
369	3129	22242
370	3135	22220
371	3147	22236
372	3151	22192
373	3159	22185
374	3165	22155
375	3177	22172
376	3187	22175
377	3201	22205
378	3208	22186
379	3220	22206
380	3226	22181
381	3234	22164
382	3241	22146
383	3253	22163
384	3262	22156
385	3267	22127
386	3275	22115
387	3287	22131
388	3293	22106
389	3298	22075
390	3305	22053
391	3310	22026
392	3316	22003
393	3322	21975
394	3327	21944
395	3331	21908
396	3337	21882
397	3341	21844
398	3345	21808
399	3350	21775
400	3360	21780
401	3368	21769
402	3376	21760
403	3383	21742
404	3393	21742
405	3403	21748
406	3415	21761
407	3424	21757
408	3430	21733
409	3439	21729
410	3448	21720
411	3456	21711
412	3462	21687
413	3467	21658
414	3473	21637
415	3477	21601
416	3485	21591
417	3490	21560
418	3499	21556
419	3509	21555
420	3519	21557
421	3527	21548
422	3532	21521
423	3548	21556
424	3554	21533
425	3557	21495
426	3566	21491
427	3583	21536
428	3595	21546
429	3604	21543
430	3613	21540
431	3622	21531
432	3625	21493
433	3631	21472
